iter	Passed	Remaining
210	54418	203487
211	54665	203190
212	54916	202907
213	55180	202672
214	55446	202444
215	55692	202144
216	55954	201899
217	56231	201710
218	56474	201399
219	56734	201150
220	56977	200838
221	57254	200649
222	57500	200349
223	57753	200073
224	57999	199775
225	58264	199544
226	58506	199231
227	58774	199009
228	59020	198709
229	59278	198454
230	59546	198231
231	59826	198047
232	60085	197791
233	60365	197605
234	60630	197372
235	60894	197132
236	61166	196918
237	61437	196701
238	61701	196463
239	61970	196238
240	62237	196010
241	62511	195799
242	62780	195574
243	63030	195290
244	63302	195075
245	63555	194801
246	63822	194567
247	64087	194328
248	64345	194071
249	64608	193825
250	64874	193589
251	65132	193330
252	65405	193113
253	65654	192828
254	65921	192595
255	66174	192318
256	66451	192115
257	66718	191881
258	66973	191612
259	67265	191448
260	67568	191313
261	67832	191071
262	68084	190792
263	68331	190499
264	68588	190237
265	68819	189899
266	69064	189603
267	69315	189325
268	69579	189081
269	69839	188825
270	70083	188526
271	70338	188259
272	70643	188123
273	70940	187967
274	71190	187682
275	71479	187503
276	71734	187234
277	71983	186949
278	72232	186664
279	72492	186409
280	72752	186152
281	72990	185841
282	73237	185552
283	73505	185317
284	73758	185043
285	74004	184751
286	74242	184442
287	74508	184201
288	74755	183913
289	75007	183639
290	75276	183405
291	75541	183163
292	75831	182979
293	76078	182693
294	76323	182401
295	76592	182166
296	76850	181904
297	77103	181632
298	77364	181379
299	77622	181118
300	77872	180839
301	78130	180578
302	78377	180294
303	78647	180060
304	78904	179797
305	79149	179508
306	79392	179214
307	79647	178948
308	79911	178701
309	80164	178430
310	80419	178164
311	80668	177883
312	80932	177636
313	81174	177342
314	81419	177054
315	81667	176773
316	81916	176494
317	82152	176187
318	82405	175918
319	82663	175659
320	82928	175415
321	83223	175235
322	83474	174960
323	83712	174658
324	83969	174397
325	84207	174098
326	84447	173802
327	84697	173527
328	84954	173265
329	85200	172983
330	85437	172681
331	85686	172405
332	85933	172124
333	86176	171837
334	86435	171581
335	86680	171298
336	86946	171055
337	87249	170884
338	87536	170683
339	87819	170472
340	88104	170266
341	88387	170054
342	88641	169789
343	88914	169558
344	89207	169365
345	89478	169129
346	89731	168860
347	90003	168626
348	90257	168359
349	90513	168095
350	90777	167847
351	91046	167608
352	91284	167312
353	91531	167031
354	91781	166757
355	92054	166524
356	92298	166240
357	92559	165986
358	92821	165734
359	93074	165465
360	93327	165196
361	93406	164623
362	93675	164384
363	93940	164138
364	94212	163903
365	94480	163662
366	94743	163413
367	95007	163165
368	95259	162896
369	95503	162614
370	95750	162337
371	96004	162072
372	96240	161777
373	96483	161493
374	96736	161227
375	97042	161049
376	97310	160807
377	97559	160534
378	97814	160270
379	98053	159981
380	98304	159713
381	98541	159420
382	98780	159131
383	99023	158850
384	99265	158567
385	99498	158269
386	99751	158004
387	99997	157727
388	100242	157450
389	100483	157167
390	100730	156892
391	100977	156618
392	101217	156332
393	101453	156042
394	101696	155762
395	101947	155495
396	102197	155227
397	102430	154932
398	102669	154647
399	102917	154375
400	103158	154093
401	103404	153821
402	103641	153533
403	103885	153257
404	104131	152983
405	104368	152696
406	104608	152414
407	104857	152145
408	105099	151867
409	105342	151590
410	105580	151306
411	105824	151031
412	106075	150765
413	106338	150517
414	106619	150294
415	106895	150064
416	107178	149844
417	107436	149588
418	107683	149318
419	107954	149079
420	108241	148863
421	108483	148586
422	108726	148310
423	108965	148028
424	109192	147731
425	109449	147474
426	109691	147197
427	109933	146920
428	110171	146638
429	110419	146370
430	110713	146161
431	110982	145921
432	111237	145662
433	111499	145411
434	111745	145140
435	112005	144887
436	112256	144623
437	112534	144394
438	112775	144115
439	113037	143865
440	113294	143609
441	113543	143342
442	113803	143089
443	114058	142829
444	114295	142548
445	114607	142360
446	114954	142213
447	115245	141999
448	115518	141760
449	115821	141559
450	116110	141340
451	116404	141127
452	116694	140909
453	116983	140688
454	117291	140491
455	117588	140281
456	117867	140048
457	118141	139809
458	118461	139624
459	118831	139497
460	119136	139294
461	119467	139119
462	119748	138887
463	120035	138661
464	120320	138432
465	120616	138216
466	120901	137987
467	121291	137878
